"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"ln_pred[23]",12.1034258599937,6.19102413064183e-05,0.0123683372223497,12.0791124465773,12.0950580548736,12.1034342606405,12.1117927078833,12.1277540888625,39911.4624830505,1.00004092405573
"ln_pred[24]",11.9888915785838,7.04402797025756e-05,0.0132769149463836,11.9628845977387,11.9799333271789,11.9889518297924,11.9978300727041,12.0149599787018,35526.4819132156,1.00005423838701
"ln_pred[25]",11.8171464272381,9.77548745897384e-05,0.01638027647394,11.7850732123724,11.8061614660353,11.8171379270721,11.828120783478,11.8492993979773,28077.9637907333,1.00006435588685
"ln_pred[26]",12.1906850979397,6.25836532522676e-05,0.0124768705578253,12.1663954355391,12.1822739146515,12.1906729666278,12.1991528363038,12.2150673788604,39745.6420491309,1.00003040582607
"ln_pred[27]",12.2683622987058,6.77968480147746e-05,0.0131510823804906,12.2423146383908,12.2594611367009,12.2683494737258,12.2772219922348,12.2941418897046,37627.3809167318,1.00002366275633
"ln_pred[28]",12.2902112721918,7.04306814828158e-05,0.0134289380903782,12.2635733406905,12.2810855252328,12.2901827143644,12.2992521072434,12.3164663509894,36354.6160309723,1.00002237035573
"ln_pred[29]",12.6565955694457,0.000137074915079231,0.0216648826338069,12.6140289323251,12.6421997933541,12.6565140475388,12.6711068645243,12.6991913465426,24980.2459658903,1.00002350669513
"ln_pred[30]",12.5649150897469,0.000117920518656789,0.0191780015812364,12.5272486898556,12.5521997977969,12.5649041844188,12.5777726617548,12.6023406990861,26450.1377895771,1.00002139648727
"ln_pred[31]",12.5630581680521,0.000117542080904573,0.019129563413131,12.5254943310344,12.5503837603941,12.5630426689983,12.5758841313303,12.6004179856161,26486.4264279414,1.00002135649057
"ln_pred[32]",12.3291905486612,7.55661239829755e-05,0.0140094846964795,12.3013865482363,12.3196971804258,12.3291416982109,12.3386971735321,12.3566201888175,34370.8307544661,1.00002070221178
"ln_pred[33]",12.211183582881,6.35501387912738e-05,0.0126043999507736,12.1864598904425,12.2026502798401,12.2111914344558,12.2197248541717,12.2358712678079,39337.9155742321,1.00002831543145
"ln_pred[34]",12.1318102328845,6.15046302267527e-05,0.0123252687369403,12.107665447519,12.123500213243,12.1318142818827,12.1401081408974,12.1560317178633,40158.4711769576,1.000037323775
"ln_pred[35]",11.7181266862622,0.000117134851941865,0.0187753271321003,11.6810697352568,11.7055534846002,11.7181397037008,11.7306520026476,11.7549266884582,25692.2866893291,1.00006585393947
